,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
BaSe,mp-1253,11.43267516,2.8407,1071.7609999999986,1034.0169999999998,1071.7609999999986
ZnSe,mp-1190,9.97737868,2.4743,1390.5610000000015,1736.8120000000015,1736.8120000000015
RbNO2,mp-752580,5.86167639,4.279,3905.744999999999,3060.923999999999,3905.744999999999
AlSbO4,mp-676861,10.314697283333334,3.53,3892.042000000001,4067.7930000000015,4067.7930000000015
NaCNO,mp-546500,4.376060296666666,5.9209,3867.516,4564.327000000001,4564.327000000001
RbPt2Se3,mp-14797,11.759846833333334,2.2070000000000003,4998.845000000001,3046.161,4998.845000000001
K(CuSe)2,mp-567657,1.8731981033333331,0.0,6191.259999999998,6181.350999999999,6191.259999999998
In7GeIrO8,mp-558992,14.78162734,1.4044999999999996,12114.708,11140.119,12114.708
Cs3AlO3,mp-562441,8.58419056,3.9692,12173.234,5847.151999999998,12173.234
LiAsO3,mp-9657,10.39672839,5.5246,13382.375,12531.649,13382.375
Cd(CuO2)2,mp-772099,15.773518746666667,1.7126,6974.008000000002,13624.168,13624.168
BaLaAgSe3,mp-1101818,14.3802786,2.3292999999999995,14334.45,6333.128000000001,14334.45
Rb3AgSn3Se8,mp-571164,9.281216683333332,2.0588,15448.934,4753.353999999999,15448.934
GaCuO2,mp-11019,10.222073933333334,2.4517999999999995,10169.031,15635.44,15635.44
RbCuO2,mp-7467,6.117680936666668,2.9969,13182.805,16420.037,16420.037
Na4TiO4,mp-14726,6.204047153333334,4.9379,18674.141,8653.626,18674.141
LiTaO3,mp-3666,36.70810870666666,5.2681,19005.119,17540.654000000002,19005.119
Li2TiSiO5,mp-6332,14.1720065,5.2923,19658.234,18145.98,19658.234
Ca6Sn2NO,mp-989584,1.99097004,0.0,20031.644,18943.005,20031.644
Ba2Hg3(PdO2)7,mp-557269,13.319901926666669,0.0,20862.992,9373.057,20862.992
NaAlO2,mp-9212,5.560387773333334,5.6625,21146.989,20009.847,21146.989
Rb2Zn3O4,mp-29606,9.50090111,3.1463,23298.752,19847.427,23298.752
Na2In2SiS6,mp-1190138,7.526794383333334,3.5299000000000005,25481.226,7228.792000000001,25481.226
Na6ZnO4,mp-7664,8.355139463333332,3.1086,26486.21,23643.04,26486.21
KCuS,mp-28270,6.213381653333334,2.9255,27216.2,26138.576,27216.2
Hg2P2S7,mp-27171,13.56965597,3.0043,31233.849,29146.392,31233.849
K2ZrGe2O7,mp-16871,12.698355926666668,5.9415,33752.201,16520.66,33752.201
TaBO4,mp-4624,14.016480003333331,5.2371,33734.953,34113.631,34113.631
Na4GeO4,mp-2970,6.221916363333333,4.598,34689.059,27936.18,34689.059
Ag3PO4,mp-1229128,12.244023093333332,2.3067,38314.781,35753.499,38314.781
KAs3(PbO3)4,mp-1223607,14.61530551,4.6211,39259.58,26631.488,39259.58
Cu2O,mp-361,10.58274416,2.1232999999999995,39620.037,40211.393,40211.393
Y4Zr3O12,mp-1216160,18.46574482,5.915000000000001,40363.442,36033.577,40363.442
Na4Ge2Se5,mp-28355,9.321800089999998,2.6977,41461.635,29342.091,41461.635
Ti(CuS)4,mp-29091,10.968411543333334,2.4874,41742.629,43243.128,43243.128
Pb2CO4,mp-505702,12.257477989999998,4.5427,43288.517,41465.76,43288.517
Ba2Nb5O9,mp-19796,13.774133676666668,0.0,43702.931,41030.627,43702.931
KPO3,mp-5039,6.324569976666668,6.9738,44897.303,26836.81,44897.303
GeSe,mp-10759,671.2042607799999,0.0221,45908.383,46125.942,46125.942
