,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
OsPbO3,mp-680932,10.9685292,0.0,5307.330000000002,5804.387999999999,5804.387999999999
Ba2Nb5O9,mp-19796,13.774133676666668,0.0,6425.258999999998,4745.957999999999,6425.258999999998
K2SnS3,mp-1120733,7.973810360000002,3.3923,9979.973999999998,4878.618999999999,9979.973999999998
Sc2Pt2O7,mp-778152,18.66616322,3.5891,10499.047,11227.75,11227.75
Sr4Sb2O,mp-755293,22.44696353333333,1.6227999999999998,12254.803,4096.904999999999,12254.803
K2Ti(TeO4)3,mp-1223905,16.902148476666667,3.0693,15504.892,8400.580000000002,15504.892
Mg3V2O8,mp-19034,9.143041136666668,4.6844,16019.199,7877.705000000002,16019.199
Na2Si2O5,mp-16970,4.8428967966666665,6.2463,16078.758,12284.101,16078.758
LiYO2,mp-7020,12.538856336666663,5.8887,17343.941,7130.227999999999,17343.941
Rb2Cd(PSe3)2,mp-541897,8.68166428,2.8935000000000004,20489.19,6039.347000000002,20489.19
Ag2GeS3,mp-9900,12.07045171,1.6105999999999998,23631.655,22006.863,23631.655
Ag2CO3,mp-4691,12.274823626666668,1.9153,23007.231,24236.861,24236.861
Ag2GeSe3,mp-1096802,1.4299164533333333,0.8744000000000001,28595.747,25953.044,28595.747
Ag2GePbS4,mp-861942,21.22003963666667,2.2947000000000006,28671.509,20439.976,28671.509
Ag2BiO3,mp-23558,1.3282627033333334,1.3733000000000004,29628.799,20510.688,29628.799
Sr3PbO,mp-19944,4.243709819999999,0.1413000000000002,30179.316,30115.851,30179.316
Ag2HgO2,mp-29816,11.298208166666663,1.2552999999999996,30456.616,24327.629,30456.616
Zn3(AsO4)2,mp-16834,8.517489976666667,4.1035,34856.11,16957.739,34856.11
Rb2Ti6O13,mp-540784,33.248603413333335,4.387899999999999,34915.377,16833.583,34915.377
La2Zr2O7,mp-4974,26.67566831,5.9076,36720.245,39249.219,39249.219
LiScO2,mp-5840,21.07228247333333,5.7633,39949.158,40054.652,40054.652
Li2HfO3,mp-755352,21.119067486666665,6.0322000000000005,40819.951,37646.767,40819.951
Ag2Hg2(TeO4)3,mp-553949,16.199867243333333,1.1058000000000003,42907.178,30644.753,42907.178
Sr4Bi2O,mp-1218382,22.04858731333333,1.4730000000000003,43231.959,31332.146,43231.959
Ag2Mo2O7,mp-27966,17.994979460000003,2.8142,45127.705,38086.569,45127.705
Ca2ScTaO6,mp-1214081,27.65304442,5.4204,53453.158,48615.484,53453.158
Sc2Ti2O7,mp-753802,15.482577213333336,5.3351,50751.944,55119.666,55119.666
YSeO3,mp-769404,10.185403713333336,3.1394,56058.246,17760.061,56058.246
CaTiO3,mp-4019,280.55215875666664,3.8441,56421.66,57846.493,57846.493
LaScO3,mp-31116,26.83485847666666,5.9030000000000005,45312.598,65288.353,65288.353
Na3In2(PO4)3,mp-17349,8.52608982,5.3359000000000005,72285.234,14603.247,72285.234
La9(SbO)5,mp-542503,11.66837821,0.0,58982.574,73187.95199999999,73187.95199999999
K2Ti6O13,mp-8065,33.55797369333333,4.4815000000000005,73349.613,54965.223,73349.613
Na2Ti6O13,mp-5449,31.86147365,4.5864,79237.169,59141.795,79237.169
CaZrO3,mp-4571,30.54655963,5.6908,80200.07800000001,74866.887,80200.07800000001
