,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
OsPbO3,mp-680932,10.94734493,0.0,7426.848000000002,6368.237000000001,7426.848000000002
Ba2Nb5O9,mp-19796,13.774133676666668,0.0,7901.939999999999,4593.021000000001,7901.939999999999
Sr4Sb2O,mp-755293,22.44696353333333,1.6227999999999998,8014.961999999999,3069.1529999999984,8014.961999999999
K2SnS3,mp-1120733,7.973810360000002,3.3923,12938.184,8899.91,12938.184
Sc2Pt2O7,mp-778152,18.66616322,3.5891,12726.872,14009.968,14009.968
Mg3V2O8,mp-19034,9.143041136666668,4.6844,14468.478,7530.987000000001,14468.478
Na2Si2O5,mp-16970,4.8428967966666665,6.2463,16848.773,6833.145,16848.773
K2Ti(TeO4)3,mp-1223905,16.902148476666667,3.0693,17325.078999999998,10052.202,17325.078999999998
Rb2Cd(PSe3)2,mp-541897,8.68166428,2.8935000000000004,26754.746,6705.209999999999,26754.746
SrBiO3,mp-29164,27.30312987,0.9208000000000004,27120.505,22792.8,27120.505
CsSbS2,mp-561639,13.611658596666668,2.5141,27379.743,24993.256,27379.743
TlAsS2,mp-4988,18.66838497333333,2.1017,28372.405,16779.102,28372.405
LiYO2,mp-7020,12.538856336666663,5.8887,28415.767,8810.04,28415.767
Y6TeO12,mp-754359,13.799544339999994,4.431,30508.786,20003.926,30508.786
Rb2Ti6O13,mp-540784,33.248603413333335,4.387899999999999,30930.137,12183.616999999998,30930.137
Zn3(AsO4)2,mp-16834,8.517489976666667,4.1035,32071.762,18620.933,32071.762
Ba2ZrO4,mp-8335,27.75345945666667,4.689500000000001,34154.962,30126.715,34154.962
Cs3BiO3,mp-29505,7.3394798,4.2605,34763.743,31033.193,34763.743
TlSO4,mp-1208021,12.989574833333334,3.3743000000000003,36924.391,35285.581,36924.391
Na3In2(PO4)3,mp-17349,8.52608982,5.3359000000000005,40166.512,14677.642,40166.512
Ca(SbO3)2,mp-9125,8.872209193333333,4.6142,41707.194,40085.781,41707.194
Ba2YTlCu2O7,mp-654374,11.408691976666669,0.4965999999999999,37000.166,43405.886,43405.886
Sc2CO,mp-1219429,12.060956853333332,0.2603999999999997,40333.264,43605.168,43605.168
Na2BeSiO4,mp-17183,6.516684036666666,6.452,45321.371,39926.184,45321.371
SeO2,mp-726,10.023147013333332,4.8861,46209.368,41430.881,46209.368
Na2O,mp-2352,6.67449141,3.4249,50788.626,51216.136,51216.136
KSnAsS5,mp-554119,9.591627453333334,2.6818,54083.506,48156.885,54083.506
AgBi(PS3)2,mp-556434,24.591150796666675,2.1036,54923.89,44255.474,54923.89
K6Co2O7,mp-19141,9.22114548,2.7792,55732.67,37346.735,55732.67
Ba2MnS3,mp-18445,11.8962249,2.3501000000000003,56061.763,45820.355,56061.763
YSeO3,mp-769404,10.185403713333336,3.1394,56734.836,19532.097,56734.836
Rb2Sr(PO3)4,mp-1209338,5.42510681,7.5429,57664.366,51297.275,57664.366
Ca3PbO,mp-20273,2.3139553,0.4115999999999999,58284.007,58084.216,58284.007
InAgS2,mp-19833,12.007301643333331,1.419,58989.788,59376.232,59376.232
NaZrCuS3,mp-9107,34.37795756333333,1.3900999999999994,61766.52,56135.456,61766.52
BiSbO4,mp-23018,22.79094230333333,4.1053,59171.765,62977.509,62977.509
Tl3AsSe3,mp-7684,23.39492522333333,1.4058999999999997,63780.222,59521.882,63780.222
GaCuSe2,mp-4840,15.079020866666667,1.3608000000000002,60808.332,63802.885,63802.885
RbLiZnS2,mp-1219554,9.060702743333334,3.8426,64329.515,60056.779,64329.515
Rb8Hf(MoO4)6,mp-1209493,7.330437736666667,5.6158,64499.904,55690.462,64499.904
