,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
OsPbO3,mp-680932,10.9685292,0.0,4347.634,5941.99,5941.99
Sr4Sb2O,mp-755293,22.44696353,1.6228,6949.32,3299.968,6949.32
Ba2Nb5O9,mp-19796,13.77413368,0.0,6429.195,7829.072,7829.072
K2SnS3,mp-1120733,7.97381036,3.3923,9449.315,4900.968,9449.315
Rb2Cd(PSe3)2,mp-541897,8.68166428,2.8935,12480.39,5981.071,12480.39
Sc2Pt2O7,mp-778152,18.66616322,3.5891,11352.032,13101.619,13101.619
Mg3V2O8,mp-19034,9.143041137,4.6844,13742.175,7022.877,13742.175
LiYO2,mp-7020,12.53885634,5.8887,13837.076,7325.415,13837.076
K2Ti(TeO4)3,mp-1223905,16.90214848,3.0693,15755.711,9892.831,15755.711
TlPd3O4,mp-5478,16.68322233,2.6539,15865.572,15906.116,15906.116
Na2Si2O5,mp-16970,4.842896797,6.2463,15992.644,10790.559,15992.644
Bi2Os2O7,mp-554545,7717533.117,0.114,16783.968,16503.316,16783.968
Ir2Pb2O7,mp-1190246,48.45525594,0.8022,14606.442,16885.29,16885.29
Bi2Rh3S2,mp-977592,2.861188843,0.0,21077.051,18940.111,21077.051
Bi2AuO5,mp-618309,1.556999553,0.0,20791.584,21562.411,21562.411
KPt2Se3,mp-14796,12.83973498,2.1965,21715.227,21066.783,21715.227
AlPS4,mp-1071955,5.277010183,3.5748,21197.06,22845.061,22845.061
ZnAg2SnS4,mp-1079889,13.55725198,1.2614,24882.448,26092.196,26092.196
K2LiVO4,mp-558369,7.65202662,5.3921,26614.781,24973.571,26614.781
MgGeO3,mp-4819,8.332085273,4.5263,28280.371,25812.958,28280.371
Li3BS3,mp-5614,7.10983192,4.1086,28375.521,22618.841,28375.521
CuAsSe,mp-1102382,1.321421893,0.1764,29615.9,29631.277,29631.277
Rb2Ti6O13,mp-540784,33.24860341,4.3879,29848.339,12734.394,29848.339
Ba(AuO2)2,mp-9297,10.03674916,3.0999,30834.433,28086.289,30834.433
Mg(PO3)2,mp-18620,5.47989339,7.6062,32625.115,21859.93,32625.115
AgAuO2,mp-996983,12.99569774,1.7899,30123.038,32932.096,32932.096
RbNaS,mp-8799,7.872799603,3.4998,33601.963,33644.766,33644.766
Sn5O6,mp-978114,11.80652418,2.2707,34596.57,27812.558,34596.57
Ca3ScCoO6,mp-561991,13.79293744,4.56,37991.228,37913.598,37991.228
KSrPO4,mp-17975,9.74871995,7.1548,38225.323,35325.848,38225.323
Na3In2(PO4)3,mp-17349,8.52608982,5.3359,38751.719,14198.937,38751.719
Sr4Li2Si4N8O,mp-1020592,13.41162143,3.8016,40234.931,38026.644,40234.931
Ga2TeS2,mp-27255,9.17574931,3.1339,40310.362,39073.037,40310.362
NaVTeO5,mp-18897,13.48211048,4.0127,42845.7,34344.864,42845.7
PbSeO3,mp-20716,16.09681667,4.2096,43095.676,44227.948,44227.948
Ga2TeO6,mp-28931,12.49032713,2.7386,43678.63,45131.355,45131.355
GaS,mp-2507,8.17629095,2.6332,44815.518,45379.359,45379.359
NbBiO4,mp-555100,49.59741224,3.4247,47925.012,40311.897,47925.012
GaSb3Pb4O13,mp-1224914,19.11431732,2.195,48320.843,46379.025,48320.843
