,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
ZnSe,mp-1190,9.97737868,2.4743,1565.9259999999997,1841.1870000000015,1841.1870000000015
BaSe,mp-1253,11.43267516,2.8407,3712.571,1325.2099999999991,3712.571
RbNO2,mp-752580,5.86167639,4.279,4081.8780000000006,3018.731,4081.8780000000006
AlSbO4,mp-676861,10.314697283333334,3.53,4194.740000000002,4357.748,4357.748
NaCNO,mp-546500,4.376060296666666,5.9209,4092.551,4830.6990000000005,4830.6990000000005
RbPt2Se3,mp-14797,11.759846833333334,2.2070000000000003,5354.841,3435.124,5354.841
K(CuSe)2,mp-567657,1.8731981033333331,0.0,5777.526000000002,6221.838,6221.838
Cs3AlO3,mp-562441,8.58419056,3.9692,12136.889,5977.006000000001,12136.889
Cd(CuO2)2,mp-772099,15.773518746666667,1.7126,7966.834999999999,13255.312000000002,13255.312000000002
Pd4Se,mp-7818,1.42737938,0.0,13770.601,15872.865000000002,15872.865000000002
Rb3AgSn3Se8,mp-571164,9.281216683333332,2.0588,16685.273,7513.972000000002,16685.273
Ag2CO3,mp-4691,12.274823626666668,1.9153,14138.654,17906.825,17906.825
Ag2BiO3,mp-23558,1.3282627033333334,1.3733000000000004,19347.1,13659.295999999998,19347.1
Ba2Hg3(PdO2)7,mp-557269,13.319901926666669,0.0,19829.321,9207.648,19829.321
NaCSN,mp-6633,5.21838264,5.3215,22334.347,20534.166,22334.347
CsCNO,mp-1225916,5.320195573333333,6.049300000000001,22355.713,21761.528,22355.713
RbCNO,mp-1219568,5.57057102,6.176200000000001,23048.079,20824.158,23048.079
CdCO3,mp-4385,8.534495766666666,4.7695,23507.76,22049.704,23507.76
Ba2SnS4,mp-541832,12.296364513333334,2.9544,24055.645,6688.847000000002,24055.645
Ag2GePbS4,mp-861942,21.22003963666667,2.2947000000000006,24119.845,16338.732,24119.845
Na2Mg(CO3)2,mp-6026,6.80051037,6.4836,24309.184,21901.333,24309.184
CsCSN,mp-614311,5.526084326666666,5.434699999999999,25203.372,22874.781000000003,25203.372
Si2N2O,mp-4497,6.13944753,6.552899999999999,25433.456,25084.21,25433.456
Na2Ca2(CO3)3,mp-557391,7.195266630000001,6.6685,27075.044,24306.673,27075.044
PNO,mp-753671,6.13202033,6.7683,29233.683,28864.213,29233.683
MgCd(CO3)2,mp-1222080,7.597739733333333,5.735399999999999,29441.731,26985.691,29441.731
Y2TeO6,mp-17066,12.238279426666669,4.935700000000001,31759.776,18051.115,31759.776
Ge2N2O,mp-4187,7.468581259999999,4.409000000000001,32320.394,32289.014,32320.394
Al4(B2O5)3,mp-31408,5.542070133333332,7.728000000000001,32365.687,26445.727,32365.687
Al2SiO5,mp-4753,6.810638016666666,6.7432,32510.571,29191.98,32510.571
Cd2B2O5,mp-7210,8.299309919999999,4.38,35531.362,32136.492,35531.362
Hf3N2O3,mp-761033,16.290445506666664,4.4404,36840.222,25669.614,36840.222
Tl2S,mp-556516,30.0813689,1.3349000000000002,38374.231,16467.353,38374.231
Al5BO9,mp-3281,6.140353183333334,6.745399999999999,39244.511,30258.239,39244.511
In2Ge2O7,mp-5280,11.264099343333337,3.8137,41292.012,40587.384,41292.012
Al2Ge2O7,mp-9751,7.427424526666666,5.5091,42867.709,40461.275,42867.709
Na2In2SiS6,mp-1190138,7.526794383333334,3.5299000000000005,44176.155,7275.026999999998,44176.155
GeP2O7,mp-28883,6.380390823333334,6.2225,44307.771,42674.274,44307.771
Cd3(BO3)2,mp-1192091,8.881201659999999,3.3994,45795.119,33753.486,45795.119
K2Ca3Si3O10,mp-1019747,8.578716246666666,5.8834,46298.301,20521.08,46298.301
ZrGeO4,mp-8042,17.703210069999997,5.8855,46554.392,44101.444,46554.392
Al2PbS4,mp-1103722,15.50518605,3.4753,47141.578,46469.323,47141.578
LaGeBO5,mp-19957,14.853674873333333,7.1944,57358.246,44034.331,57358.246
PPbS3,mp-20199,18.83425365333333,3.0592999999999995,58207.424,54381.847,58207.424
TlPPbS4,mp-510646,30.705534460000003,2.6384,58298.838,51727.809,58298.838
YNbO4,mp-5387,18.626793653333333,4.9335,56918.354,58339.666,58339.666
NaGe2(PO4)3,mp-542919,7.673453226666666,6.2437000000000005,62686.056,56355.752,62686.056
SrGe(PO4)2,mp-1020628,7.964738116666667,6.4141,64198.336,48644.175,64198.336
Si(PbS2)2,mp-504564,19.73754596333333,2.9139,66011.27900000001,55971.033,66011.27900000001
Ge5P6O25,mp-18049,6.249054476666668,5.8354,66186.527,44126.081,66186.527
GePbS3,mp-624190,14.140676459999998,2.6626000000000003,66256.193,61610.262,66256.193
Hf3TePb4O13,mp-1224517,31.715568576666666,2.6732000000000005,66872.06599999999,51687.639,66872.06599999999
Y4Zr3O12,mp-1216160,18.46574482,5.915000000000001,68971.51000000001,58374.562000000005,68971.51000000001
Zr(MoO4)2,mp-510456,10.91815697,4.6563,70382.394,67782.48300000001,70382.394
La2Zr2O7,mp-4974,26.67566831,5.9076,68892.443,71292.74100000001,71292.74100000001
BaZrO3,mp-3834,48.83089003,4.8127,75703.055,75272.537,75703.055
ZrSnS3,mp-17324,22.69416608666667,1.4201999999999997,76154.56,73848.78,76154.56
SrZrO3,mp-4387,32.089883236666665,5.379099999999999,76290.302,69964.008,76290.302
Nb3Co(PO4)6,mp-771766,10.979734166666669,4.2812,78783.171,44856.465,78783.171
Nb4Pb3O13,mp-1173546,1598.3004773566663,3.2330999999999994,80902.416,75342.595,80902.416
La2Hf2O7,mp-12533,25.74768411,6.220899999999999,80215.75,81868.913,81868.913
ZrSO,mp-3519,17.41774994,3.557300000000001,87791.573,86853.22,87791.573
LaNbO4,mp-5295,16.419783719999998,5.5449,89725.273,88340.572,89725.273
Sr2Zr7O16,mp-770419,20.14649324,5.703700000000001,90871.529,76358.727,90871.529
Ba2ZrO4,mp-8335,27.75345945666667,4.689500000000001,96288.302,93404.896,96288.302
Zr3N2O3,mp-1101160,19.53315077333333,3.917100000000001,104348.489,91697.212,104348.489
LaTl2P2S7,mp-1190334,19.64632968,3.1586000000000003,105550.665,86410.70300000001,105550.665
LaTaTiO6,mp-1222878,49.54062390333333,4.5288,107952.951,107046.222,107952.951
ScNbO4,mp-553961,25.78807228666667,4.9111,108967.718,106991.866,108967.718
ScTaO4,mp-558781,22.61416321333333,5.7562,111112.8,112140.912,112140.912
Ba3Ta2ZnO9,mp-1214475,30.50879814333333,4.9107,116391.088,113169.938,116391.088
BaHfO3,mp-998552,36.01422734,5.2255,117277.682,116860.076,117277.682
Ba3Zr2O7,mp-755895,31.90467218,4.689400000000001,107862.769,117533.014,117533.014
LaTa3O9,mp-757365,63.209760556666666,3.7894,118712.692,96564.301,118712.692
Ba3SrNb2O9,mp-540949,16.06055379,5.0233,120649.472,106333.827,120649.472
LaTl(PS3)2,mp-1195614,13.44263217,3.5005,120781.079,95817.999,120781.079
Y2Pb2O7,mp-752849,19.11507606,2.309,123372.727,124709.718,124709.718
ZrO2,mp-2858,20.01724769666667,5.2149,122979.369,124778.35,124778.35
NbTl(BO3)2,mp-559057,17.283379546666666,4.6465,126934.943,115385.374,126934.943
HfV2O7,mp-505679,12.92303017,3.8967,127444.818,120624.519,127444.818
VPPbO6,mp-505688,15.82841002,3.1686,128729.77,118740.685,128729.77
Ba3Ta2CdO9,mp-554669,36.42792498666667,5.0598,130997.105,127270.484,130997.105
SrHfO3,mp-3378,25.504056270000003,5.8384,133878.161,131927.318,133878.161
HfO2,mp-352,16.814154073333334,5.631,133062.974,135535.929,135535.929
TiP2PbO8,mp-1191155,15.47197623,4.081799999999999,140076.396,125616.45,140076.396
YTaO4,mp-5377,15.447011526666667,5.6289,135789.187,141228.302,141228.302
TaTl(GeO3)3,mp-540634,14.051727710000002,5.1273,144929.483,138247.851,144929.483
Ba5Ta4O15,mp-504554,29.055284760000003,4.3367,147200.068,144530.05800000002,147200.068
Ba2TaTlO6,mp-1205650,34.00360232,4.0105,147696.95,146637.131,147696.95
LaTaO4,mp-4421,36.89480328333333,4.989199999999999,149680.149,141425.448,149680.149
Ba5Nb4O15,mp-3563,42.37942208,3.8724,151273.65,146942.77899999998,151273.65
Ba2HfO4,mp-754363,23.545356436666665,4.933400000000001,152433.70299999998,150340.046,152433.70299999998
Ba3Hf2O7,mp-754128,25.197675356666668,5.128699999999999,139492.35499999998,152929.63199999998,152929.63199999998
Nb2Se4O13,mp-29193,1.68320821,3.5674,153963.356,131242.737,153963.356
Ba3Nb2CdO9,mp-1214502,53.906871003333336,4.3425,157931.763,156679.201,157931.763
Ba4Ta2O9,mp-1192906,14.095570903333332,5.5986,163497.277,152381.965,163497.277
SrTa4O11,mp-541462,32.02670918333334,5.0969,165223.372,154776.263,165223.372
LaZrTa3O11,mp-1222999,30.12923473,4.9306,167529.38,79039.511,167529.38
Ba4LiTa3O12,mp-16792,29.306672256666666,4.5280000000000005,171750.386,148505.277,171750.386
Ba3Nb2ZnO9,mp-7249,41.35922103333333,4.2105,171754.227,167467.727,171754.227
Ta2CdO6,mp-1208442,16.659603726666667,5.5841,176807.499,168243.221,176807.499
SrTa2O6,mp-17715,34.789338603333334,4.772500000000001,177441.7,175023.676,177441.7
CsBa2Nb3O10,mp-505814,60.51210331666667,2.5117,180392.361,176398.608,180392.361
Ba3MgNb2O9,mp-6474,34.048237863333334,4.1069,182419.733,179903.919,182419.733
